phonemic_name	lang	latin_name	humor_temp	humor_type	notes
khangai	MN	Potentilla bifurca	neutral	multi	cinquefoil; neutral astringent
doloon	MN	Rhododendron dauricum	cool	wind	Dahurian rhododendron
dagluur	MN	Pulsatilla chinensis	cool	bile	Chinese anemone; cool bile
orhon	MN	Achillea millefolium	neutral	multi	yarrow; hemostatic
buural	MN	Aster tataricus	cool	bile	Tatar aster; cool anti-bile
taana	MN	Ziziphus jujuba	warm	wind	jujube; warm tonic
tsoodol	MN	Cornus officinalis	warm	wind	cornelian cherry
gavril	MN	Cuscuta chinensis	warm	wind	dodder; warm tonic parasite
suuts	MN	Polygonum aviculare	cool	bile	knotweed; cool bile
hurgan	MN	Lespedeza bicolor	neutral	multi	bush clover
tokhoi	MN	Ranunculus chinensis	cool	bile	buttercup; cool bile
tokhoin	MN	Ranunculus chinensis	cool	bile	buttercup variant
shiluun	MN	Lithospermum erythrorhizon	cool	bile	gromwell; cool anti-bile
shilun	MN	Lithospermum erythrorhizon	cool	bile	gromwell short
dzelme	MN	Linum usitatissimum	neutral	multi	flaxseed
dzelm	MN	Linum usitatissimum	neutral	multi	flax short
olzii	MN	Astragalus mongholicus	warm	wind	Mongolian milkvetch
olzi	MN	Astragalus mongholicus	warm	wind	milkvetch short
argal	MN	Saponaria officinalis	cool	bile	soapwort; cool bile
argaai	MN	Saponaria officinalis	cool	bile	soapwort variant
taria	MN	Triticum aestivum	neutral	multi	wheat grain
bor	MN	Allium cepa	warm	wind	onion; warm anti-wind
sergelen	MN	Cimicifuga dahurica	cool	bile	bugbane; cool bile
zandal	MN	Santalum album	cool	bile	sandalwood Mongolian
sandal	MN	Santalum album	cool	bile	sandalwood variant
khankh	MN	Prunus armeniaca	warm	wind	apricot kernel; warm wind-cough
khankhna	MN	Prunus armeniaca	warm	wind	apricot variant
borgil	MN	Paeonia lactiflora	cool	bile	peony; cool blood-bile
borgel	MN	Paeonia lactiflora	cool	bile	peony short
haluun	MN	Atractylodes macrocephala	neutral	multi	atractylodes; neutral digestive
uuts	MN	Coix lacryma-jobi	neutral	multi	Job's tears
soogoo	MN	Cyperus rotundus	cool	bile	nutgrass; cool anti-bile
sogo	MN	Cyperus rotundus	cool	bile	sedge short
kharaa	MN	Viola tricolor	cool	bile	violet; cool anti-bile
khara	MN	Viola tricolor	cool	bile	violet short
nariin	MN	Pinellia ternata	warm	phlegm	ban xia; warm phlegm
narin	MN	Pinellia ternata	warm	phlegm	pinellia short
shiveet	MN	Carum carvi	warm	wind	caraway; warm digestive
shivit	MN	Carum carvi	warm	wind	caraway short
deresuu	MN	Lycium chinense	neutral	multi	Chinese wolfberry
deresu	MN	Lycium chinense	neutral	multi	wolfberry short
bayan	MN	Polygala tenuifolia	neutral	multi	milkwort; neutral tonic
jamsaran	MN	Codonopsis clematidea	neutral	multi	Mongolian bellflower
chatsargana	MN	Hippophae rhamnoides	neutral	multi	sea buckthorn
chatsargan	MN	Hippophae rhamnoides	neutral	multi	sea buckthorn short
arts	MN	Juniperus sibirica	warm	wind	Siberian juniper; warm
sargai	MN	Rhodiola rosea	neutral	multi	roseroot; adaptogen
tasan	MN	Veratrum nigrum	cool	bile	black false hellebore; cool
dugui	MN	Verbascum thapsus	neutral	multi	mullein; neutral
zagarai	MN	Peganum harmala	warm	wind	harmel; warm anti-wind
zahirai	MN	Peganum harmala	warm	wind	harmel variant
shargil	MN	Scorzonera austriaca	neutral	multi	scorzonera; neutral
daats	MN	Ziziphus spinosa	warm	wind	jujube spine; warm
mandrekh	MN	Taraxacum mongolicum	cool	bile	Mongolian dandelion
mandrekh2	MN	Taraxacum mongolicum	cool	bile	dandelion variant
manu	MN	Inula helenium	warm	wind	elecampane; warm wind
aguur	MN	Ephedra intermedia	warm	wind	intermediate ephedra
ognoohoi	MN	Oxytropis spp.	neutral	multi	locoweed; neutral
tsulai	MN	Fritillaria thunbergii	cool	phlegm	fritillaria; cool phlegm
shaval	MN	Bergenia crassifolia	neutral	multi	leather-bergenia; astringent
tsagaanchecheg	MN	Rosa davurica	neutral	multi	Dahurian rose
shurgal	MN	Corydalis turtschaninovii	cool	bile	Mongolian corydalis
khadanhavar	MN	Salvia deserta	cool	bile	desert sage; cool
terguun	MN	Caragana sinica	neutral	multi	caragana shrub
ikhtsetseg	MN	Gentiana macrophylla	cool	bile	large gentian; cool
nariintsetseg	MN	Stellaria dichotoma	cool	bile	dichotomous chickweed
duguitsetseg	MN	Thermopsis lanceolata	warm	wind	thermopsis; warm
ulaanchono	MN	Cotoneaster melanocarpus	neutral	multi	black cotoneaster
haannogoo	MN	Vincetoxicum sibiricum	cool	bile	Siberian vincetoxicum
shuti	TB	Acorus calamus	warm	wind	Tibetan: shu-ti
shutii	TB	Acorus calamus	warm	wind	Acorus long-i
lcumtsa	TB	Rheum officinale	cool	bile	Tibetan: lcum-rtsa
rgodtsha	TB	Ephedra intermedia	warm	wind	Tibetan: rGod-tsha
pibaling	TB	Piper longum	warm	wind	long pepper; tri-katu
pipaling	TB	Piper longum	warm	wind	piper variant
achen	TB	Cuminum cyminum	warm	wind	cumin; warm digestive
achhen	TB	Cuminum cyminum	warm	wind	cumin variant
sugmel	TB	Elettaria cardamomum	warm	wind	cardamom: sug-smel
sugmel2	TB	Amomum subulatum	warm	wind	black cardamom
barun	TB	Terminalia bellirica	neutral	multi	bibhitaki; three-fruit
kyurura	TB	Phyllanthus emblica	neutral	multi	amalaki: skyu-ru-ra
kyurur	TB	Phyllanthus emblica	neutral	multi	amalaki short
drilu	TB	Terminalia chebula	neutral	multi	haritaki: a-ru-ra
drilbu	TB	Terminalia chebula	neutral	multi	haritaki variant
arura	TB	Terminalia chebula	neutral	multi	haritaki: a-ru-ra direct
gurgum	TB	Crocus sativus	warm	wind	saffron: gur-gum
gurgun	TB	Crocus sativus	warm	wind	saffron short
sman	TB	Nardostachys jatamansi	warm	wind	spikenard: sman-pa
smanpa	TB	Nardostachys jatamansi	warm	wind	spikenard variant
spangpos	TB	Nardostachys grandiflora	warm	wind	spang-spos: field spikenard
tsatsa	TB	Zingiber officinale	warm	wind	ginger: tsha-tsha
tsatsal	TB	Zingiber officinale	warm	wind	ginger variant
kangtse	TB	Inula racemosa	warm	wind	Tibetan inula: kang-tse
kantse	TB	Inula racemosa	warm	wind	inula short
solu	TB	Rhodiola rosea	neutral	multi	roseroot: so-lu
soloo	TB	Rhodiola rosea	neutral	multi	roseroot long-o
tsenden	TB	Santalum album	cool	bile	white sandalwood: tsan-dan
tsandal	TB	Santalum album	cool	bile	sandalwood variant
tandar	TB	Cinnamomum cassia	warm	wind	cinnamon: tan-dar
tanden	TB	Cinnamomum cassia	warm	wind	cinnamon variant
shingkun	TB	Ferula asafoetida	warm	wind	asafoetida: shing-kun
shingkung	TB	Ferula asafoetida	warm	wind	asafoetida long
kyungchal	TB	Aconitum carmichaelii	warm	phlegm	aconite: bongngakarpo
kyungcha	TB	Aconitum carmichaelii	warm	phlegm	aconite short
shalshay	TB	Curcuma longa	warm	wind	turmeric: shal-shay
shalshe	TB	Curcuma longa	warm	wind	turmeric short
tikta	TB	Swertia chirayita	cool	bile	Tibetan/Sanskrit tig ta = Swertia chirayita (PMC7689029 Row 621); corrected from Gentiana tibetica batch769
tigtag	TB	Swertia chirata	cool	bile	swertia: tig-ta variant
baalu	TB	Rhododendron anthopogon	cool	wind	Tibetan rhododendron: ba-lu
takichu	TB	Bergenia purpurascens	neutral	multi	purple bergenia: brag-skyu
khowar	TB	Meconopsis horridula	cool	bile	Himalayan poppy: kho-bar
utpal	TB	Nymphaea stellata	cool	bile	blue lotus: ut-pal
padma	TB	Nelumbo nucifera	cool	bile	lotus: padma
tsandalkar	TB	Santalum album	cool	bile	white sandalwood: tsan-dan-dkar
tsandalmar	TB	Pterocarpus santalinus	cool	bile	red sandalwood: tsan-dan-dmar
nyingpa	TB	Juglans regia	warm	wind	walnut: shing-thal
shemar	TB	Prunus mume	warm	wind	plum; warm wind-cough
baldu	TB	Rheum webbianum	cool	bile	Himalayan rhubarb: bal-du
tagara	TB	Valeriana wallichii	warm	wind	Indian valerian: ta-ga-ra
tagar	TB	Valeriana wallichii	warm	wind	valerian short
sindhur	TB	Cinnabar/HgS	warm	wind	cinnabar mineral: mtshal
zurgum	TB	Crocus sativus	warm	wind	saffron: zur-gum variant
sulphur	TB	Sulphur	warm	wind	sulphur mineral: mu-zi
ngulchu	TB	Aconitum ferox	warm	phlegm	ferox aconite: dngul-phye
gongtsa	TB	Delphinium brunonianum	cool	bile	larkspur: bong-nga
bongnga	TB	Delphinium spp.	cool	bile	delphinium: bong-nga
zurmkhar	TB	Valeriana officinalis	warm	wind	valerian: zur-mkhar
kutki	TB	Picrorhiza kurroa	cool	bile	kutki: hong-len
hongleng	TB	Picrorhiza kurroa	cool	bile	kutki Tibetan: hong-len
pangjung	TB	Aster flaccidus	neutral	multi	flaccid aster: pang-'byung
serkang	TB	Halenia elliptica	cool	bile	elliptic halenia: ser-kang
dkarmig	TB	Rheum emodi	cool	bile	Himalayan rhubarb white
yukcha	TB	Gentiana urnula	cool	bile	urnula gentian: g.yug-pa
pomtse	TB	Swertia multicaulis	cool	bile	multi-stemmed swertia
jatsi	TB	Syzygium aromaticum	warm	wind	clove: li-shi
lishi	TB	Syzygium aromaticum	warm	wind	clove: li-shi direct
dashel	TB	Terminalia chebula	neutral	multi	myrobalan: da-shel
somaraja	TB	Psoralea corylifolia	warm	wind	babchi: so-ma-ra-dza
changpu	ZH	Acorus calamus	warm	wind	chang-pu: Acorus
changpuu	ZH	Acorus calamus	warm	wind	Acorus long-u
dahuang	ZH	Rheum palmatum	cool	bile	da-huang: rhubarb
mahuang	ZH	Ephedra sinica	warm	wind	ma-huang: ephedra
shiliu	ZH	Punica granatum	warm	wind	shi-liu: pomegranate
gouqi	ZH	Lycium barbarum	neutral	multi	gou-qi: wolfberry
gouqizi	ZH	Lycium barbarum	neutral	multi	wolfberry full
duzhong	ZH	Eucommia ulmoides	warm	wind	du-zhong: eucommia bark
gancao	ZH	Glycyrrhiza uralensis	neutral	multi	gan-cao: licorice
ganzao	ZH	Glycyrrhiza uralensis	neutral	multi	licorice variant
bohe	ZH	Mentha haplocalyx	cool	wind	bo-he: Chinese mint
fuling	ZH	Poria cocos	neutral	multi	fu-ling: poria mushroom
huanglian	ZH	Coptis chinensis	cool	bile	huang-lian: coptis
huanglin	ZH	Coptis chinensis	cool	bile	coptis short
huangqi	ZH	Astragalus membranaceus	warm	wind	huang-qi: astragalus
chuanxiong	ZH	Ligusticum chuanxiong	warm	wind	chuan-xiong: ligusticum
chuaxiong	ZH	Ligusticum chuanxiong	warm	wind	ligusticum short
chuzi	ZH	Rheum officinale	cool	bile	rhubarb Chinese crib
danggui	ZH	Angelica sinensis	warm	wind	dang-gui: dong quai
dangguei	ZH	Angelica sinensis	warm	wind	dong quai variant
baizhu	ZH	Atractylodes macrocephala	neutral	multi	bai-zhu: white atractylodes
baizh	ZH	Atractylodes macrocephala	neutral	multi	atractylodes short
cangzhu	ZH	Atractylodes lancea	warm	wind	cang-zhu: sword atractylodes
zexie	ZH	Alisma plantago-aquatica	cool	bile	ze-xie: water plantain
baimu	ZH	Fritillaria thunbergii	cool	phlegm	bei-mu: fritillaria
chuanbeimu	ZH	Fritillaria cirrhosa	cool	phlegm	chuan-bei-mu: Sichuan fritillaria
wuweizi	ZH	Schisandra chinensis	warm	wind	wu-wei-zi: five-flavor berry
wuweiz	ZH	Schisandra chinensis	warm	wind	schisandra short
baishao	ZH	Paeonia lactiflora	cool	bile	bai-shao: white peony
chishao	ZH	Paeonia veitchii	cool	bile	chi-shao: red peony
dihuang	ZH	Rehmannia glutinosa	cool	bile	di-huang: rehmannia
shudihuang	ZH	Rehmannia glutinosa	warm	wind	shu-di-huang: prepared rehmannia
huangqin	ZH	Scutellaria baicalensis	cool	bile	huang-qin: scutellaria
huangbai	ZH	Phellodendron amurense	cool	bile	huang-bai: Amur cork
fuzi	ZH	Aconitum carmichaelii	warm	phlegm	fu-zi: prepared aconite
chuanwu	ZH	Aconitum kusnezoffii	warm	phlegm	chuan-wu: aconite root
shengjiang	ZH	Zingiber officinale	warm	wind	sheng-jiang: fresh ginger
ganjiang	ZH	Zingiber officinale	warm	wind	gan-jiang: dried ginger
guizhi	ZH	Cinnamomum cassia	warm	wind	gui-zhi: cinnamon twig
rougui	ZH	Cinnamomum cassia	warm	wind	rou-gui: cinnamon bark
houpo	ZH	Magnolia officinalis	warm	wind	hou-po: magnolia bark
chenpi	ZH	Citrus reticulata	warm	wind	chen-pi: tangerine peel
banxia	ZH	Pinellia ternata	warm	phlegm	ban-xia: pinellia
taoren	ZH	Prunus persica	neutral	multi	tao-ren: peach kernel
honghua	ZH	Carthamus tinctorius	warm	wind	hong-hua: safflower
baidoukou	ZH	Amomum kravanh	warm	wind	bai-dou-kou: round cardamom
shanzhuyuu	ZH	Cornus officinalis	warm	wind	shan-zhu-yu: cornelian
liangjiang	ZH	Alpinia officinarum	warm	wind	liang-jiang: lesser galangal
xiangfu	ZH	Cyperus rotundus	cool	bile	xiang-fu: nutgrass
danshen	ZH	Salvia miltiorrhiza	cool	bile	dan-shen: red sage
yimucao	ZH	Leonurus japonicus	cool	bile	yi-mu-cao: motherwort
qiancao	ZH	Rubia cordifolia	cool	bile	qian-cao: madder root
gansong	ZH	Nardostachys chinensis	warm	wind	gan-song: Chinese spikenard
xiecao	ZH	Valeriana officinalis	warm	wind	xie-cao: valerian
tusizi	ZH	Cuscuta chinensis	warm	wind	tu-si-zi: dodder
kushen	ZH	Sophora flavescens	cool	bile	ku-shen: bitter root
cheqianzi	ZH	Plantago asiatica	cool	bile	che-qian-zi: Asian plantain
longdancao	ZH	Gentiana scabra	cool	bile	long-dan-cao: gentian grass
hezi	ZH	Terminalia chebula	neutral	multi	he-zi: myrobalan
nvzhen	ZH	Ligustrum lucidum	cool	bile	nu-zhen-zi: privet berry
nvzhenzi	ZH	Ligustrum lucidum	cool	bile	privet full
ciwujia	ZH	Acanthopanax senticosus	warm	wind	ci-wu-jia: Siberian ginseng
gaoben	ZH	Ligusticum sinense	warm	wind	gao-ben: Chinese lovage
qianshi	ZH	Euryale ferox	neutral	multi	qian-shi: Gordon euryale
ezhu	ZH	Curcuma phaeocaulis	warm	wind	e-zhu: zedoary
yujin	ZH	Curcuma aromatica	cool	bile	yu-jin: turmeric root
sanleng	ZH	Sparganium stoloniferum	warm	wind	san-leng: bur-reed
yanhusuo	ZH	Corydalis yanhusuo	warm	wind	yan-hu-suo: corydalis
baimaogen	ZH	Imperata cylindrica	cool	bile	bai-mao-gen: cogon grass root
zhebeimu	ZH	Fritillaria thunbergii	cool	phlegm	zhe-bei-mu: Zhejiang fritillaria
tusiling	ZH	Smilax china	neutral	multi	tu-fu-ling: China root
gusuibu	ZH	Drynaria fortunei	warm	wind	gu-sui-bu: felt fern
shanmao	ZH	Artemisia annua	cool	bile	qing-hao: sweet wormwood
qinghao	ZH	Artemisia annua	cool	bile	qing-hao direct
awei	ZH	Ferula asafoetida	warm	wind	a-wei: asafoetida Chinese
muxiang	ZH	Saussurea costus	warm	wind	mu-xiang: costus Chinese
chuanmu	ZH	Aconitum carmichaelii	warm	phlegm	chuan-wu: aconite variant
juhua	ZH	Chrysanthemum morifolium	cool	bile	ju-hua: chrysanthemum
sangye	ZH	Morus alba	cool	bile	sang-ye: mulberry leaf
sangbaipi	ZH	Morus alba	cool	bile	sang-bai-pi: mulberry bark
jinyingzi	ZH	Rosa laevigata	neutral	multi	jin-ying-zi: Cherokee rose
baianli	ZH	Ziziphus jujuba	warm	wind	da-zao: jujube
dazao	ZH	Ziziphus jujuba	warm	wind	jujube: da-zao direct
maidong	ZH	Ophiopogon japonicus	cool	bile	mai-dong: lilyturf root
tianma	ZH	Gastrodia elata	neutral	wind	tian-ma: gastrodia orchid
gegen	ZH	Pueraria lobata	cool	wind	ge-gen: kudzu root
huangbai2	ZH	Phellodendron chinense	cool	bile	sichuan phellodendron
goutenggou	ZH	Uncaria rhynchophylla	cool	wind	gou-teng: cat's claw vine
songhuafen	ZH	Pinus massoniana	neutral	multi	pine pollen: song-hua-fen
baishaogen	ZH	Paeonia lactiflora	cool	bile	white peony root
ziwan	ZH	Aster tataricus	warm	wind	zi-wan: Tatar aster
kuandonghua	ZH	Tussilago farfara	warm	wind	kuan-dong-hua: coltsfoot
qianhu	ZH	Peucedanum praeruptorum	cool	phlegm	qian-hu: hogfennel
zizhu	ZH	Perilla frutescens	warm	wind	zi-su: perilla
zisu	ZH	Perilla frutescens	warm	wind	zi-su direct
wulingzhi	ZH	Trogopterus feces	warm	wind	wu-ling-zhi: flying squirrel
shanzha	ZH	Crataegus pinnatifida	cool	bile	shan-zha: hawthorn berry
lianzi	ZH	Nelumbo nucifera	neutral	multi	lian-zi: lotus seed
heye	ZH	Nelumbo nucifera	cool	bile	he-ye: lotus leaf
fupenzi	ZH	Rubus chingii	warm	wind	fu-pen-zi: palm-leaf raspberry
sangpiao	ZH	Paratenodera sinensis	neutral	multi	sang-piao-xiao: mantis egg
jineijin	ZH	Gallus gallus	neutral	multi	ji-nei-jin: chicken gizzard
heshouwu	ZH	Polygonum multiflorum	warm	wind	he-shou-wu: fo-ti
yinyanghuo	ZH	Epimedium brevicornu	warm	wind	yin-yang-huo: horny goat weed
tusiling2	ZH	Smilax glabra	neutral	multi	tu-fu-ling: glabrous greenbrier
duhuo	ZH	Angelica pubescens	warm	wind	du-huo: pubescent angelica
qianghuo	ZH	Notopterygium incisum	warm	wind	qiang-huo: notopterygium
fangfeng	ZH	Saposhnikovia divaricata	warm	wind	fang-feng: siler root
xixin	ZH	Asarum heterotropoides	warm	wind	xi-xin: wild ginger root
tujing	ZH	Thymus mongolicus	warm	wind	di-bu-rong: Mongolian thyme
jiegeng	ZH	Platycodon grandiflorus	neutral	phlegm	jie-geng: balloon flower
mazirentai	ZH	Cannabis sativa	neutral	multi	ma-zi-ren: hemp seed
xingren	ZH	Prunus armeniaca	warm	wind	xing-ren: apricot kernel
taohuang	ZH	Prunus persica	neutral	multi	tao-ren variant: peach
fuzi2	ZH	Aconitum carmichaelii	warm	phlegm	fu-zi prepared variant
haritaki	SK	Terminalia chebula	neutral	multi	Sanskrit: haritaki
haritaka	SK	Terminalia chebula	neutral	multi	haritaki variant
vibhitaka	SK	Terminalia bellirica	neutral	multi	Sanskrit: vibhitaka
vibhitaki	SK	Terminalia bellirica	neutral	multi	bibhitaki variant
amalaki	SK	Phyllanthus emblica	neutral	multi	Sanskrit: amalaki
amalaka	SK	Phyllanthus emblica	neutral	multi	amalaki variant
ashvagandha	SK	Withania somnifera	warm	wind	Sanskrit: ashwagandha
ashwagandha	SK	Withania somnifera	warm	wind	ashwagandha English
ashwagan	SK	Withania somnifera	warm	wind	ashwagandha short
shatavari	SK	Asparagus racemosus	cool	wind	Sanskrit: shatavari
shatavar	SK	Asparagus racemosus	cool	wind	shatavari short
guduchi	SK	Tinospora cordifolia	neutral	multi	Sanskrit: guduchi
guduch	SK	Tinospora cordifolia	neutral	multi	guduchi short
tulasi	SK	Ocimum tenuiflorum	warm	wind	Sanskrit: tulasi/holy basil
tulas	SK	Ocimum tenuiflorum	warm	wind	tulasi short
pippali	SK	Piper longum	warm	wind	Sanskrit: pippali
pipali	SK	Piper longum	warm	wind	pippali short
maricha	SK	Piper nigrum	warm	wind	Sanskrit: maricha/black pepper
marich	SK	Piper nigrum	warm	wind	maricha short
shunthi	SK	Zingiber officinale	warm	wind	Sanskrit: shunthi/dry ginger
shuntih	SK	Zingiber officinale	warm	wind	shunthi variant
hingu	SK	Ferula asafoetida	warm	wind	Sanskrit: hingu/asafoetida
hingua	SK	Ferula asafoetida	warm	wind	hingu variant
haridra	SK	Curcuma longa	warm	wind	Sanskrit: haridra/turmeric
harid	SK	Curcuma longa	warm	wind	haridra short
shallaki	SK	Boswellia serrata	warm	wind	Sanskrit: shallaki/frankincense
shalak	SK	Boswellia serrata	warm	wind	shallaki short
jatamansi	SK	Nardostachys jatamansi	warm	wind	Sanskrit: jatamansi
jatamanshi	SK	Nardostachys jatamansi	warm	wind	jatamansi variant
kushtha	SK	Saussurea costus	warm	wind	Sanskrit: kushtha/costus
kushtaka	SK	Saussurea costus	warm	wind	kushtha variant
nagakesara	SK	Mesua ferrea	cool	bile	Sanskrit: nagakesara
nagakesar	SK	Mesua ferrea	cool	bile	nagakesara short
lavanga	SK	Syzygium aromaticum	warm	wind	Sanskrit: lavanga/clove
lavang	SK	Syzygium aromaticum	warm	wind	lavanga short
ela	SK	Elettaria cardamomum	warm	wind	Sanskrit: ela/cardamom
elaa	SK	Elettaria cardamomum	warm	wind	ela long vowel
rasna	SK	Pluchea lanceolata	warm	wind	Sanskrit: rasna
rasnak	SK	Pluchea lanceolata	warm	wind	rasna short
musta	SK	Cyperus rotundus	cool	bile	Sanskrit: musta/nutgrass
mustaka	SK	Cyperus rotundus	cool	bile	musta full
devadaru	SK	Cedrus deodara	warm	wind	Sanskrit: devadaru/deodar cedar
devadru	SK	Cedrus deodara	warm	wind	devadaru short
pushkaramula	SK	Inula racemosa	warm	wind	Sanskrit: pushkaramula
pushkara	SK	Inula racemosa	warm	wind	pushkaramula short
guggulu	SK	Commiphora wightii	warm	wind	Sanskrit: guggulu/myrrh resin
guggul	SK	Commiphora wightii	warm	wind	guggulu short
daruharidra	SK	Berberis aristata	cool	bile	Sanskrit: daruharidra/tree turmeric
daruharid	SK	Berberis aristata	cool	bile	daruharidra short
vacha	SK	Acorus calamus	warm	wind	Sanskrit: vacha
dhatri	SK	Phyllanthus emblica	neutral	multi	Sanskrit: dhatri/amalaki variant
sariva	SK	Hemidesmus indicus	cool	bile	Sanskrit: sariva/Indian sarsaparilla
gokshura	SK	Tribulus terrestris	warm	wind	Sanskrit: gokshura
gokshu	SK	Tribulus terrestris	warm	wind	gokshura short
brahmi	SK	Bacopa monnieri	cool	bile	Sanskrit: brahmi
brahm	SK	Bacopa monnieri	cool	bile	brahmi short
mandukaparni	SK	Centella asiatica	cool	bile	Sanskrit: mandukaparni/gotu kola
gotukola	SK	Centella asiatica	cool	bile	gotu kola phonemic
kapikacchu	SK	Mucuna pruriens	warm	wind	Sanskrit: kapikacchu/cowitch
yashtimadhu	SK	Glycyrrhiza glabra	neutral	multi	Sanskrit: yashtimadhu/licorice
yashti	SK	Glycyrrhiza glabra	neutral	multi	yashtimadhu short
punarnava	SK	Boerhavia diffusa	cool	bile	Sanskrit: punarnava
punarva	SK	Boerhavia diffusa	cool	bile	punarnava short
bala	SK	Sida rhombifolia	warm	wind	Sanskrit: bala/country mallow
mahabala	SK	Sida cordifolia	warm	wind	Sanskrit: mahabala
shalparni	SK	Desmodium gangeticum	warm	wind	Sanskrit: shalparni
prishnaparni	SK	Uraria picta	warm	wind	Sanskrit: prishnaparni
brihati	SK	Solanum indicum	warm	wind	Sanskrit: brihati
kantakari	SK	Solanum xanthocarpum	warm	wind	Sanskrit: kantakari
varuna	SK	Crataeva religiosa	warm	wind	Sanskrit: varuna/three-leaved caper
bilva	SK	Aegle marmelos	warm	wind	Sanskrit: bilva/bael
syonaka	SK	Oroxylum indicum	warm	wind	Sanskrit: shyonaka
agnimantha	SK	Premna integrifolia	warm	wind	Sanskrit: agnimantha
patala	SK	Stereospermum suaveolens	warm	wind	Sanskrit: patala
kashmari	SK	Gmelina arborea	neutral	multi	Sanskrit: kashmari
gambhari	SK	Gmelina arborea	neutral	multi	gambhari variant
vidanga	SK	Embelia ribes	warm	wind	Sanskrit: vidanga/false black pepper
chitrak	SK	Plumbago zeylanica	warm	wind	Sanskrit: chitraka/leadwort
chitraka	SK	Plumbago zeylanica	warm	wind	chitraka full
pippalimoola	SK	Piper longum	warm	wind	Sanskrit: pippali-moola/long pepper root
shringavera	SK	Zingiber officinale	warm	wind	Sanskrit: shringavera/fresh ginger
karkata	SK	Solanum nigrum	cool	bile	Sanskrit: kakataki/black nightshade
indravaruni	SK	Citrullus colocynthis	cool	bile	Sanskrit: indravaruni/colocynth
trivrit	SK	Operculina turpethum	cool	bile	Sanskrit: trivrit/turpeth root
danti	SK	Baliospermum montanum	cool	bile	Sanskrit: danti/wild castor
shankhapushpi	SK	Convolvulus pluricaulis	cool	wind	Sanskrit: shankhapushpi
jivanti	SK	Leptadenia reticulata	warm	wind	Sanskrit: jivanti
medaa	SK	Polygonatum verticillatum	neutral	multi	Sanskrit: meda/Solomon's seal
mahamedaa	SK	Polygonatum cirrhifolium	neutral	multi	Sanskrit: mahameda
riddhi	SK	Habenaria intermedia	neutral	multi	Sanskrit: riddhi/orchid
vriddhi	SK	Habenaria edgeworthii	neutral	multi	Sanskrit: vriddhi
kakoli	SK	Fritillaria roylei	cool	phlegm	Sanskrit: kakoli/Himalayan fritillaria
kshirakakoli	SK	Lilium polyphyllum	cool	phlegm	Sanskrit: kshirakakoli
chandana	SK	Santalum album	cool	bile	Sanskrit: chandana/sandalwood
